date,Open,High,Low,Close,Volume
2019-08-20,64.26,64.26,62.79,63.23,2330200.0
2019-08-21,63.54,63.83,62.84,63.35,1362300.0
2019-08-22,63.42,64.07,63.11,63.87,1545700.0
2019-08-23,63.89,64.02,62.65,63.25,3176000.0
2019-08-26,63.44,63.94,63.13,63.65,2422200.0
2019-08-27,63.46,63.55,61.92,62.1,2739400.0
2019-08-28,62.25,62.77,62.0,62.51,2346100.0
2019-08-29,63.0,63.18,62.35,62.96,2975900.0
2019-08-30,62.95,63.66,62.78,62.8,2329500.0
2019-09-03,63.0,63.71,62.5,63.7,2002200.0
2019-09-04,63.68,63.9,62.8,63.34,2164100.0
2019-09-05,63.71,63.76,62.75,62.84,1650400.0
2019-09-06,64.32,64.53,63.84,64.22,2645000.0
2019-09-09,64.25,64.45,63.61,64.17,1559300.0
2019-09-10,63.85,64.17,62.5,62.93,3736700.0
2019-09-11,62.93,63.89,62.63,63.79,2149900.0
2019-09-12,64.46,64.46,63.47,63.7,1162000.0
2019-09-13,63.25,63.97,63.1,63.35,1668500.0
2019-09-16,63.4,64.05,63.05,63.78,1574100.0
2019-09-17,63.82,64.6,63.7,64.15,1714900.0
2019-09-18,64.44,64.56,62.96,63.61,1989600.0
2019-09-19,63.78,63.97,63.46,63.74,1017100.0
2019-09-20,63.92,64.27,63.67,63.73,2881700.0
2019-09-23,63.84,64.07,62.89,63.28,1206500.0
2019-09-24,63.53,64.03,63.38,63.9,1883500.0
2019-09-25,64.02,64.49,63.81,64.06,1413700.0
2019-09-26,64.74,64.99,63.82,64.21,1644200.0
2019-09-27,64.37,64.47,63.91,64.1,1713300.0
2019-09-30,64.24,64.62,63.91,64.35,2069400.0
2019-10-01,64.4,64.7,62.92,63.1,1596800.0
2019-10-02,62.97,63.39,61.58,61.99,1601100.0
2019-10-03,62.26,62.66,61.62,62.41,1742100.0
2019-10-04,62.51,62.86,62.23,62.83,968200.0
2019-10-07,62.65,63.21,62.27,62.68,1313100.0
2019-10-08,62.65,62.7,61.82,61.84,1694000.0
2019-10-09,62.0,62.23,61.76,62.12,941300.0
2019-10-10,61.71,62.5,61.71,62.37,1026600.0
2019-10-11,62.25,62.61,61.8,62.13,1230800.0
2019-10-14,62.33,62.5,61.59,62.39,1657800.0
2019-10-15,62.4,62.64,61.23,61.93,1628900.0
2019-10-16,62.02,62.42,61.14,61.33,1997000.0
2019-10-17,61.28,62.44,61.05,62.21,1480400.0
2019-10-18,62.24,62.83,61.81,61.94,1842100.0
2019-10-21,62.23,62.88,61.95,62.5,1348400.0
2019-10-22,62.51,62.78,62.02,62.08,1251600.0
2019-10-23,62.11,62.32,61.88,62.21,953600.0
2019-10-24,61.96,61.96,61.06,61.66,979900.0
2019-10-25,61.76,61.92,60.65,60.89,1493700.0
2019-10-28,61.09,61.26,60.65,61.06,2651200.0
2019-10-29,63.0,64.36,61.55,62.87,4785900.0
2019-10-30,63.32,63.98,62.87,63.88,2585300.0
2019-10-31,63.88,64.07,62.97,63.53,1820700.0
2019-11-01,63.47,64.02,63.29,63.68,1863300.0
2019-11-04,63.71,63.87,63.06,63.56,1500400.0
