date,Open,High,Low,Close,Volume
2019-08-20,80.72,81.23,79.45,80.53,5903100.0
2019-08-21,81.94,82.84,81.63,82.74,6454200.0
2019-08-22,83.0,83.72,82.5,83.31,5571600.0
2019-08-23,82.02,82.76,80.03,80.44,8497800.0
2019-08-26,81.44,82.28,80.74,82.25,4336000.0
2019-08-27,82.63,83.18,82.0,82.03,3842500.0
2019-08-28,81.9,83.59,81.72,83.48,4123700.0
2019-08-29,84.22,85.77,84.17,85.38,5101900.0
2019-08-30,85.7,85.99,84.41,84.5,5235400.0
2019-09-03,84.0,84.83,83.62,84.67,6360800.0
2019-09-04,85.58,86.5,85.5,86.35,4151200.0
2019-09-05,87.28,88.62,87.28,88.42,6328400.0
2019-09-06,88.4,88.98,88.02,88.69,3625300.0
2019-09-09,88.94,89.35,88.42,88.67,4282400.0
2019-09-10,88.26,88.63,86.29,86.83,7072400.0
2019-09-11,86.96,87.25,85.87,86.75,4623300.0
2019-09-12,87.1,88.07,86.22,87.67,4057500.0
2019-09-13,88.25,88.79,87.3,87.32,5894700.0
2019-09-16,87.09,87.82,86.67,87.27,4171700.0
2019-09-17,86.77,87.64,86.47,87.59,3248400.0
2019-09-18,87.65,88.4,87.21,88.08,4722200.0
2019-09-19,88.4,88.72,87.51,87.7,4231200.0
2019-09-20,88.0,88.49,86.67,86.68,6991100.0
2019-09-23,86.98,88.02,86.8,87.69,4790000.0
2019-09-24,88.45,88.69,86.76,87.18,10202900.0
2019-09-25,91.78,92.79,90.15,90.81,25330700.0
2019-09-26,91.62,92.45,90.25,92.17,10408300.0
2019-09-27,91.85,92.86,91.6,92.31,6420500.0
2019-09-30,92.53,94.08,92.5,93.92,7401200.0
2019-10-01,94.13,94.75,92.06,92.28,8464900.0
2019-10-02,91.47,91.84,90.57,91.49,6933900.0
2019-10-03,91.31,92.32,90.35,92.22,5762300.0
2019-10-04,92.22,93.17,91.93,93.07,4551400.0
2019-10-07,92.5,93.92,92.4,93.17,4975400.0
2019-10-08,90.45,92.71,90.41,91.75,6916800.0
2019-10-09,92.41,93.05,91.82,92.52,5115900.0
2019-10-10,93.5,93.5,92.72,93.0,5794100.0
2019-10-11,94.0,94.57,93.56,93.88,6220100.0
2019-10-14,94.2,95.25,94.05,94.88,4636000.0
2019-10-15,95.0,95.18,94.12,94.79,4292500.0
2019-10-16,94.09,95.14,94.07,94.88,4883300.0
2019-10-17,95.57,95.89,94.97,95.56,3427400.0
2019-10-18,94.81,96.46,94.8,96.1,6209200.0
2019-10-21,96.61,96.87,95.42,96.22,5185800.0
2019-10-22,96.06,96.83,95.52,95.6,5470100.0
2019-10-23,95.03,95.54,92.12,92.32,11933600.0
2019-10-24,92.68,92.87,90.99,91.5,12085800.0
2019-10-25,91.44,91.83,90.75,90.92,8147200.0
2019-10-28,91.06,91.3,90.17,90.85,10304300.0
2019-10-29,90.85,90.92,89.13,89.28,9044400.0
2019-10-30,89.45,90.27,89.35,90.19,8127300.0
2019-10-31,90.0,90.41,88.94,89.55,6751700.0
2019-11-01,90.18,90.53,89.0,89.18,5263600.0
2019-11-04,90.13,90.56,89.32,89.86,8161200.0
2019-11-05,90.15,90.34,89.54,89.88,5589700.0
2019-11-06,90.64,90.72,88.74,89.48,7033800.0
