date,Open,High,Low,Close,Volume
2019-12-20,132.29,133.14,131.39,131.92,864000.0
2019-12-23,132.1,133.27,131.47,132.87,208800.0
2019-12-24,133.06,134.39,132.01,133.22,236100.0
2019-12-26,133.23,133.64,132.25,133.08,828300.0
2019-12-27,133.46,133.56,131.48,131.61,255500.0
2019-12-30,131.6,131.6,130.7,130.98,272800.0
2019-12-31,130.79,131.95,130.0,130.82,277400.0
2020-01-02,131.53,132.25,128.88,129.31,699300.0
2020-01-03,127.63,129.24,127.32,128.51,605900.0
2020-01-06,128.39,128.75,126.81,126.89,644600.0
2020-01-07,126.35,128.14,125.76,126.61,730800.0
2020-01-08,126.7,128.69,126.21,126.99,493100.0
2020-01-09,127.42,128.9,126.47,128.73,607100.0
2020-01-10,129.1,129.41,128.2,128.51,274600.0
2020-01-13,128.73,131.0,128.21,130.95,619500.0
2020-01-14,131.0,131.56,130.44,131.53,521500.0
2020-01-15,131.5,132.46,131.3,131.96,321500.0
2020-01-16,132.63,133.98,132.47,133.95,345200.0
2020-01-17,134.19,134.88,133.11,134.72,671400.0
2020-01-21,133.12,133.41,130.34,130.52,821600.0
2020-01-22,131.27,132.23,130.17,130.23,367700.0
2020-01-23,129.84,131.26,128.61,130.82,350500.0
2020-01-24,130.72,131.06,128.84,129.68,342600.0
2020-01-27,127.11,128.76,127.07,127.84,596300.0
2020-01-28,127.76,130.11,126.83,129.21,759200.0
2020-01-29,130.82,137.24,128.88,136.23,838700.0
2020-01-30,135.26,136.36,130.59,136.11,656213.0
2020-01-31,135.02,135.02,130.66,131.24,690700.0
2020-02-03,132.05,134.49,131.86,133.98,558700.0
2020-02-04,135.31,137.84,135.31,136.85,689500.0
2020-02-05,138.36,140.21,138.25,140.11,750842.0
2020-02-06,140.64,141.09,138.14,138.89,467900.0
2020-02-07,137.84,138.4,135.65,136.24,327200.0
2020-02-10,135.49,136.74,135.17,136.64,187000.0
2020-02-11,137.16,138.39,136.5,137.62,262600.0
2020-02-12,138.06,141.0,137.85,139.83,762400.0
2020-02-13,139.3,139.51,137.1,138.16,356100.0
2020-02-14,138.01,138.76,137.17,138.13,317500.0
2020-02-18,137.75,138.1,135.3,135.98,386300.0
2020-02-19,136.16,137.38,135.74,136.77,492600.0
2020-02-20,136.13,137.39,135.64,136.77,260300.0
2020-02-21,135.95,136.1,133.45,133.95,550000.0
2020-02-24,129.99,129.99,126.73,127.43,799800.0
2020-02-25,127.87,127.87,121.23,121.52,889900.0
2020-02-26,122.65,124.26,119.83,119.84,921700.0
2020-02-27,117.1,120.38,115.08,115.09,873300.0
2020-02-28,111.51,115.37,110.69,114.49,1002300.0
2020-03-02,114.73,120.05,112.72,120.01,951400.0
2020-03-03,119.19,122.33,116.8,117.96,811100.0
2020-03-04,119.75,121.84,117.13,121.76,636700.0
2020-03-05,117.16,120.88,116.79,119.12,1044200.0
2020-03-06,115.43,121.55,115.43,120.82,802400.0
2020-03-09,114.02,118.03,112.61,115.46,1039800.0
2020-03-10,118.83,120.67,114.07,120.36,923100.0
2020-03-11,116.73,117.39,110.4,110.94,1088200.0
2020-03-12,104.42,108.08,100.2,104.22,1149400.0
2020-03-13,109.43,110.43,99.35,106.08,784500.0
2020-03-16,93.5,104.05,93.5,97.01,839600.0
2020-03-17,99.34,107.96,95.85,106.71,850200.0
2020-03-18,97.74,105.85,97.59,105.46,732700.0
2020-03-19,104.45,105.72,97.09,103.05,639500.0
2020-03-20,103.41,103.41,88.01,90.8,906600.0
2020-03-23,89.6,90.11,76.96,78.75,925600.0
2020-03-24,82.47,98.95,81.08,96.76,994700.0
2020-03-25,96.27,99.95,93.28,97.76,1125200.0
2020-03-26,98.72,107.24,98.13,101.99,711600.0
2020-03-27,98.35,102.3,96.76,100.31,543300.0
2020-03-30,100.97,105.09,97.63,104.77,657300.0
2020-03-31,102.96,104.45,100.94,101.87,1230200.0
2020-04-01,98.02,99.84,95.18,95.93,809200.0
2020-04-02,94.99,100.83,93.99,95.9,794600.0
2020-04-03,94.8,98.59,93.29,93.61,827800.0
2020-04-06,98.96,102.15,97.67,100.42,661000.0
2020-04-07,103.5,107.62,100.7,104.16,691700.0
2020-04-08,105.56,110.71,104.37,110.21,544300.0
2020-04-09,110.94,116.67,110.94,115.03,688800.0
2020-04-13,114.15,114.98,108.03,108.78,580400.0
2020-04-14,111.0,112.87,109.89,110.53,376200.0
2020-04-15,106.82,108.63,105.71,106.98,425700.0
2020-04-16,107.66,108.35,101.66,104.68,539800.0
2020-04-17,107.24,110.0,106.36,109.36,405600.0
2020-04-20,107.85,107.85,104.41,104.9,370700.0
2020-04-21,102.76,103.73,101.82,103.26,506500.0
2020-04-22,104.46,106.28,103.48,105.37,429700.0
2020-04-23,106.5,108.94,106.17,106.73,494200.0
2020-04-24,108.04,109.19,106.13,108.54,400600.0
2020-04-27,108.97,114.25,107.76,114.0,470700.0
2020-04-28,116.38,119.41,114.55,114.68,640500.0
2020-04-29,116.37,119.55,112.18,114.16,859900.0
2020-04-30,111.02,112.06,108.54,110.39,620700.0
2020-05-01,108.4,108.6,105.15,108.07,469200.0
2020-05-04,107.65,107.99,105.61,106.92,378200.0
2020-05-05,107.57,108.37,106.14,106.49,444300.0
2020-05-06,107.1,107.93,105.35,105.75,333500.0
2020-05-07,107.03,107.72,103.8,104.32,628500.0
2020-05-08,106.35,109.53,105.93,109.26,379400.0
2020-05-11,108.16,109.3,105.46,108.81,409900.0
2020-05-12,109.18,109.88,104.42,104.46,415800.0
2020-05-13,103.36,105.19,101.12,102.26,551100.0
2020-05-14,101.23,102.26,98.84,102.22,500600.0
2020-05-15,101.18,101.84,99.26,100.48,499600.0
2020-05-18,104.28,106.46,104.28,104.49,576100.0
2020-05-19,103.79,104.51,102.56,102.81,380500.0
2020-05-20,103.9,106.83,103.9,105.75,484200.0
2020-05-21,105.02,106.05,103.12,105.91,464100.0
2020-05-22,105.8,107.63,105.67,106.45,577700.0
2020-05-26,109.39,112.04,108.42,111.45,615100.0
2020-05-27,113.52,114.84,111.33,113.42,677200.0
2020-05-28,114.59,114.59,112.0,112.19,397500.0
2020-05-29,111.67,112.53,109.26,110.67,1155800.0
2020-06-01,111.3,113.78,111.16,112.97,493200.0
2020-06-02,112.59,116.51,112.59,115.57,643200.0
2020-06-03,117.25,120.22,116.35,119.75,629400.0
2020-06-04,118.46,120.0,117.5,118.74,432700.0
2020-06-05,122.7,125.67,121.8,123.32,739100.0
2020-06-08,122.95,125.64,122.84,124.61,441200.0
2020-06-09,123.29,123.58,121.38,122.42,363300.0
2020-06-10,122.35,122.35,119.04,121.46,656900.0
2020-06-11,118.91,118.91,111.92,112.01,710500.0
2020-06-12,115.98,116.95,112.0,113.5,429900.0
2020-06-15,110.38,116.3,109.07,115.52,376100.0
2020-06-16,119.75,119.89,114.67,116.35,547400.0
2020-06-17,116.66,117.17,115.32,115.75,260400.0
2020-06-18,115.69,116.75,114.87,116.47,412900.0
2020-06-19,118.61,118.61,114.51,114.52,542300.0
2020-06-22,113.46,114.31,112.42,113.77,403900.0
2020-06-23,115.12,115.88,113.43,115.48,605300.0
2020-06-24,114.38,114.83,111.98,112.29,908100.0
2020-06-25,112.06,112.06,109.41,111.37,826900.0
2020-06-26,111.13,112.27,109.38,109.83,1504400.0
2020-06-29,110.83,113.065,110.35,111.94,337879.0
2020-06-30,111.79,115.09,111.73,114.09,594900.0
2020-07-01,114.34,114.75,112.3,114.02,492500.0
2020-07-02,115.19,117.56,114.64,117.0,728400.0
2020-07-06,119.43,120.09,116.71,118.18,629400.0
2020-07-07,116.7,116.84,115.27,115.85,480300.0
2020-07-08,115.48,116.04,112.49,112.95,673600.0
2020-07-09,112.5,112.71,109.99,110.61,573400.0
2020-07-10,110.8,111.84,110.01,111.04,970800.0
2020-07-13,112.2,114.09,111.7,112.15,946100.0
2020-07-14,112.12,115.82,111.44,115.82,784400.0
2020-07-15,118.05,119.61,117.32,118.99,761700.0
2020-07-16,118.89,120.58,118.4,119.42,675300.0
2020-07-17,120.27,121.66,118.8,121.26,595400.0
2020-07-20,120.5,121.01,119.66,119.89,310400.0
2020-07-21,120.11,121.41,120.0,120.49,400500.0
2020-07-22,120.13,122.2,119.93,122.2,358608.0
2020-07-23,122.26,123.6,120.4,120.91,362815.0
2020-07-24,121.05,122.71,119.91,120.41,1467750.0
2020-07-27,120.46,120.9,113.62,115.86,1203814.0
2020-07-28,117.25,118.39,116.29,117.6,968454.0
2020-07-29,118.2,119.37,117.26,117.96,746714.0
2020-07-30,116.34,117.01,114.6,115.13,457926.0
2020-07-31,114.7,115.03,112.1,113.34,400274.0
2020-08-03,114.04,114.39,112.54,112.81,480743.0
2020-08-04,112.32,114.18,111.8,113.84,657751.0
2020-08-05,114.47,116.815,114.47,116.09,608896.0
2020-08-06,115.94,116.85,114.13,114.45,580864.0
2020-08-07,113.72,115.83,113.39,115.82,379654.0
2020-08-10,116.36,117.19,115.33,116.18,343252.0
2020-08-11,118.18,119.945,117.83,118.35,625932.0
2020-08-12,119.94,120.82,119.11,120.46,419589.0
2020-08-13,119.11,119.18,117.86,118.43,366712.0
2020-08-14,117.5,117.97,116.36,116.59,378551.0
2020-08-17,117.43,117.43,115.43,115.86,354168.0
2020-08-18,115.7,115.895,114.15,114.34,403332.0
2020-08-19,115.04,116.075,113.75,114.25,333933.0
2020-08-20,113.09,113.595,112.21,113.44,441538.0
