date,Open,High,Low,Close,Volume
2019-11-11,93.93,95.55,93.58,95.12,993525.0
2019-11-12,95.02,95.75,94.95,95.21,768768.0
2019-11-13,94.75,94.75,93.0,93.22,1160302.0
2019-11-14,93.2,94.73,93.09,94.5,919302.0
2019-11-15,94.86,94.94,94.23,94.33,954834.0
2019-11-18,94.18,94.18,92.81,93.7,1376739.0
2019-11-19,93.98,95.17,93.7,94.51,1075014.0
2019-11-20,94.19,94.76,93.65,94.26,837399.0
2019-11-21,94.44,94.64,93.03,93.29,783019.0
2019-11-22,93.75,94.16,93.0,93.38,1061964.0
2019-11-25,95.26,95.66,90.42,90.75,3113098.0
2019-11-26,90.88,91.77,89.22,91.47,2094278.0
2019-11-27,91.75,93.44,91.65,92.53,1302173.0
2019-11-29,92.54,92.83,91.62,92.09,992083.0
2019-12-02,92.45,93.0,89.3,89.36,1500200.0
2019-12-03,88.07,88.86,87.19,88.63,1216967.0
2019-12-04,88.68,88.92,86.25,86.29,1637362.0
2019-12-05,86.74,86.74,85.39,85.64,1177119.0
2019-12-06,86.12,86.48,84.47,85.02,1950363.0
2019-12-09,84.79,85.85,84.6,85.84,967011.0
2019-12-10,85.88,87.22,85.07,87.13,905446.0
2019-12-11,87.5,88.33,87.26,88.09,1724103.0
2019-12-12,88.26,90.14,88.07,90.02,1980073.0
2019-12-13,90.02,90.75,89.26,90.03,1752990.0
2019-12-16,90.17,90.38,88.83,89.27,1642932.0
2019-12-17,90.17,90.19,89.3,89.44,754982.0
2019-12-18,89.17,89.37,87.85,88.37,782645.0
2019-12-19,88.09,88.54,87.64,88.54,666580.0
2019-12-20,89.28,90.31,88.73,90.04,1400589.0
2019-12-23,90.12,90.86,89.79,90.4,865409.0
2019-12-24,90.42,90.6,89.52,89.57,212114.0
2019-12-26,89.73,90.1,89.52,90.09,328006.0
2019-12-27,90.23,90.45,89.39,89.54,369689.0
2019-12-30,89.33,90.0,89.17,89.62,579462.0
2019-12-31,89.7,90.42,89.04,89.83,537794.0
2020-01-02,89.9,90.44,88.66,90.27,1185983.0
2020-01-03,89.13,90.96,89.09,90.89,588916.0
2020-01-06,90.68,91.09,90.28,90.72,575907.0
2020-01-07,90.22,91.24,89.43,91.04,619145.0
2020-01-08,90.91,91.65,89.48,89.48,930139.0
2020-01-09,89.52,90.93,89.52,90.89,659277.0
2020-01-10,90.9,91.55,90.29,90.63,745746.0
2020-01-13,90.95,91.4,90.36,91.14,608501.0
2020-01-14,91.1,93.09,90.85,92.58,581208.0
2020-01-15,92.31,93.32,92.24,92.77,684649.0
2020-01-16,93.92,94.4,92.94,93.47,570836.0
2020-01-17,94.0,94.6,93.55,94.0,806113.0
2020-01-21,94.0,94.99,93.36,94.79,813773.0
2020-01-22,94.72,94.88,93.09,94.85,906178.0
2020-01-23,94.44,96.33,93.84,96.06,1025942.0
2020-01-24,96.07,97.93,96.07,97.0,1215675.0
2020-01-27,95.51,96.48,94.57,95.28,758528.0
2020-01-28,95.28,95.97,94.73,94.84,1074499.0
2020-01-29,95.22,95.43,94.56,94.78,811706.0
2020-01-30,93.64,94.67,93.4,94.49,725627.0
2020-01-31,93.92,94.33,92.31,92.53,1185621.0
2020-02-03,92.71,94.32,92.41,93.04,1436856.0
2020-02-04,94.32,95.54,91.3,95.46,1948474.0
2020-02-05,96.5,96.82,95.37,96.75,1026523.0
2020-02-06,96.76,96.91,95.61,96.02,876135.0
2020-02-07,95.78,96.47,95.06,95.78,682407.0
2020-02-10,95.41,97.3,95.41,97.02,725402.0
2020-02-11,97.37,98.16,97.17,97.73,801675.0
2020-02-12,98.13,99.46,97.89,99.26,911678.0
2020-02-13,99.04,99.65,97.84,99.23,1046569.0
2020-02-14,99.5,100.67,99.04,100.66,844400.0
2020-02-18,100.0,101.66,99.76,100.56,1057396.0
2020-02-19,101.05,101.7,100.72,101.46,629674.0
2020-02-20,102.0,102.55,101.13,102.03,893822.0
2020-02-21,101.6,104.0,101.41,103.86,1157610.0
2020-02-24,101.44,103.28,101.0,101.95,1112246.0
2020-02-25,101.85,102.25,98.67,98.71,1301164.0
2020-02-26,99.39,101.41,98.65,99.83,1568791.0
2020-02-27,98.57,98.6,93.32,93.32,1587088.0
2020-02-28,90.89,92.52,88.65,92.34,2068433.0
2020-03-02,92.57,97.06,90.22,96.89,1303297.0
2020-03-03,96.9,101.91,95.9,97.6,1973848.0
2020-03-04,98.24,101.4,98.24,101.29,1273013.0
2020-03-05,99.23,100.36,96.32,97.26,1171740.0
2020-03-06,94.5,94.88,91.41,94.07,1361638.0
2020-03-09,87.69,90.66,82.85,88.94,1834347.0
2020-03-10,91.05,92.44,88.47,92.28,1447454.0
2020-03-11,90.08,90.3,85.88,88.0,1852346.0
2020-03-12,77.45,85.61,77.45,79.12,1621025.0
2020-03-13,82.46,86.77,80.7,86.76,1956712.0
2020-03-16,79.05,81.71,75.65,78.87,1886221.0
2020-03-17,79.69,81.43,76.34,80.59,2283231.0
2020-03-18,76.04,80.95,65.13,79.43,1764278.0
2020-03-19,76.1,77.99,72.76,74.69,1685711.0
2020-03-20,74.7,75.42,65.49,65.65,2207349.0
2020-03-23,64.81,64.94,59.29,63.01,1925374.0
2020-03-24,65.85,70.99,65.6,69.49,1465305.0
2020-03-25,69.41,76.75,68.44,73.25,1400254.0
2020-03-26,74.19,80.44,73.53,79.82,777122.0
2020-03-27,77.96,78.54,74.02,74.88,822281.0
2020-03-30,75.1,79.71,72.76,77.99,976368.0
2020-03-31,77.85,82.32,75.69,79.27,1335145.0
2020-04-01,75.6,79.52,75.04,79.22,1248875.0
2020-04-02,78.12,82.45,77.9,81.18,1119213.0
2020-04-03,80.28,81.2,76.7,78.97,1003853.0
2020-04-06,81.59,84.87,81.49,83.42,1053709.0
2020-04-07,85.88,86.86,81.79,81.88,779169.0
2020-04-08,83.08,84.0,80.27,80.94,1162153.0
2020-04-09,81.87,83.86,79.65,81.31,1779259.0
2020-04-13,80.59,80.91,79.08,79.83,813514.0
2020-04-14,81.35,82.69,80.46,81.81,741882.0
2020-04-15,79.72,80.56,78.58,80.02,608429.0
2020-04-16,79.5,80.39,77.89,79.05,965683.0
2020-04-17,81.22,84.94,81.06,84.2,1017273.0
2020-04-20,83.7,83.94,80.12,80.7,1501497.0
2020-04-21,79.73,80.03,78.0,78.21,637694.0
2020-04-22,79.7,80.47,79.1,79.51,469397.0
2020-04-23,80.56,81.56,79.68,79.75,645097.0
2020-04-24,79.51,80.42,78.65,80.0,701491.0
2020-04-27,81.0,81.59,79.58,79.79,1054456.0
2020-04-28,81.86,84.49,81.01,83.5,878709.0
2020-04-29,85.11,85.93,82.6,82.73,959766.0
2020-04-30,82.35,83.55,81.14,82.75,788074.0
2020-05-01,81.53,81.83,79.5,80.78,809356.0
2020-05-04,79.72,81.16,78.07,81.03,917285.0
2020-05-05,81.45,82.8,81.3,81.54,676873.0
2020-05-06,81.73,83.59,77.53,78.35,1169825.0
2020-05-07,78.98,80.15,76.76,78.55,1343617.0
2020-05-08,79.14,80.59,79.01,79.97,752511.0
2020-05-11,79.03,79.67,78.05,78.57,1219755.0
2020-05-12,78.84,79.27,74.62,74.66,956393.0
2020-05-13,74.35,74.64,71.11,72.07,1010699.0
2020-05-14,70.82,71.91,69.17,71.6,970259.0
2020-05-15,70.64,72.37,70.16,72.11,766768.0
2020-05-18,74.95,77.81,74.6,77.37,1244278.0
2020-05-19,77.04,77.3,74.25,74.28,729860.0
2020-05-20,75.27,76.74,74.76,76.41,783823.0
2020-05-21,76.49,77.38,76.0,76.97,661298.0
2020-05-22,76.32,77.38,76.25,77.1,770647.0
2020-05-26,79.07,81.2,78.66,80.61,838077.0
2020-05-27,82.23,84.37,81.87,84.22,1090397.0
2020-05-28,85.12,85.15,83.5,84.29,797645.0
2020-05-29,83.15,84.42,82.51,84.02,1296141.0
2020-06-01,83.99,85.8,83.22,85.09,727435.0
2020-06-02,85.64,85.88,84.62,85.36,729410.0
2020-06-03,86.54,88.01,86.23,87.81,690515.0
2020-06-04,87.09,87.59,86.6,87.59,672036.0
2020-06-05,90.0,91.48,88.75,89.06,765911.0
2020-06-08,89.15,90.33,88.77,89.51,884182.0
2020-06-09,88.04,89.26,87.81,88.59,645398.0
2020-06-10,88.77,88.77,84.84,84.87,822685.0
2020-06-11,82.34,82.84,79.59,80.13,1330932.0
2020-06-12,82.83,82.9,78.58,80.49,1071683.0
2020-06-15,79.9,82.62,78.47,82.39,987293.0
2020-06-16,85.87,88.08,84.51,85.12,1179000.0
2020-06-17,85.52,86.36,84.94,85.42,1200966.0
2020-06-18,84.76,85.63,84.41,85.14,812778.0
2020-06-19,86.68,87.48,85.01,85.58,2310830.0
2020-06-22,85.09,86.18,83.6,85.66,755866.0
2020-06-23,86.74,87.07,85.3,85.32,792849.0
2020-06-24,84.27,84.69,82.46,82.88,894130.0
2020-06-25,82.09,83.76,81.52,83.64,717673.0
2020-06-26,83.17,83.46,81.75,82.5,1336902.0
2020-06-29,83.69,84.975,82.51,84.83,662469.0
2020-06-30,84.55,85.21,84.37,84.8,903879.0
2020-07-01,85.44,85.98,83.66,83.9,1076405.0
2020-07-02,85.65,86.49,84.65,85.66,915197.0
2020-07-06,86.44,87.21,84.25,84.91,634306.0
2020-07-07,85.1,85.1,83.35,83.52,660738.0
2020-07-08,83.0,84.32,80.88,81.6,1368489.0
2020-07-09,81.42,82.06,78.81,78.85,953175.0
2020-07-10,78.79,79.59,78.24,78.57,839569.0
2020-07-13,79.92,80.3,78.57,78.73,680885.0
2020-07-14,77.88,80.0,77.51,79.04,1559215.0
2020-07-15,80.31,81.71,79.62,81.16,1524348.0
2020-07-16,81.54,83.41,81.13,82.62,770909.0
2020-07-17,83.35,83.84,82.86,83.52,545201.0
2020-07-20,82.64,83.32,82.42,82.98,465438.0
2020-07-21,83.4,84.49,83.4,83.96,480348.0
2020-07-22,83.35,84.755,83.35,84.39,376127.0
2020-07-23,84.16,85.53,83.85,84.64,507829.0
2020-07-24,84.83,84.89,83.72,83.94,564430.0
2020-07-27,83.63,84.45,82.92,84.21,511196.0
2020-07-28,84.17,84.5,83.42,83.71,566785.0
2020-07-29,84.31,86.73,83.92,86.72,765940.0
2020-07-30,85.62,86.11,84.639,85.38,567583.0
2020-07-31,85.26,85.73,83.54,85.35,906881.0
2020-08-03,85.7,91.45,85.35,90.5,1290976.0
2020-08-04,90.86,92.5,90.13,92.36,965754.0
2020-08-05,92.55,93.14,91.775,92.12,738442.0
2020-08-06,91.57,92.22,90.02,90.47,692114.0
2020-08-07,90.09,91.425,89.745,91.32,551771.0
2020-08-10,91.28,91.56,90.47,91.12,677448.0
2020-08-11,92.2,92.43,90.43,90.98,931904.0
2020-08-12,92.38,92.45,90.13,90.49,953606.0
2020-08-13,89.88,90.71,89.24,89.96,612223.0
2020-08-14,89.19,90.29,89.19,90.0,472254.0
2020-08-17,89.95,90.195,89.42,89.97,590142.0
2020-08-18,90.17,90.48,89.335,89.86,506097.0
2020-08-19,89.69,90.14,89.3,89.78,851928.0
2020-08-20,88.87,89.31,88.79,89.03,515513.0
