date,Open,High,Low,Close,Volume
2019-08-20,112.56,113.91,111.4,111.43,1837091.0
2019-08-21,112.5,114.93,112.23,114.84,2556973.0
2019-08-22,115.16,125.52,112.57,123.49,7289754.0
2019-08-23,123.12,124.02,114.93,115.33,5246754.0
2019-08-26,112.0,113.38,109.6,111.66,4041005.0
2019-08-27,112.78,113.5,109.94,110.16,1790663.0
2019-08-28,109.53,113.29,109.53,111.27,1551069.0
2019-08-29,112.99,114.21,110.86,112.17,1600056.0
2019-08-30,103.0,104.925,98.94,100.76,8547570.0
2019-09-03,100.26,100.38,94.93,95.18,6286935.0
2019-09-04,95.95,100.05,95.56,97.53,3706946.0
2019-09-05,98.68,101.64,98.41,100.28,2509607.0
2019-09-06,100.1,104.07,100.1,103.84,3046106.0
2019-09-09,103.95,106.75,102.5,106.4,2493527.0
2019-09-10,106.02,110.24,106.02,109.6,3798300.0
2019-09-11,109.87,110.365,106.495,108.9,1952522.0
2019-09-12,110.14,110.64,107.91,108.26,2358301.0
2019-09-13,109.33,109.74,107.23,107.4,1891446.0
2019-09-16,106.66,109.42,106.45,108.54,2062567.0
2019-09-17,108.86,109.235,107.73,107.83,1450230.0
2019-09-18,106.9,107.82,102.17,102.98,3527070.0
2019-09-19,103.65,106.26,103.26,105.67,2216602.0
2019-09-20,105.15,106.96,104.07,106.32,2598280.0
2019-09-23,106.39,107.0,104.52,104.62,1949802.0
2019-09-24,105.44,105.915,100.16,100.32,2376078.0
2019-09-25,100.26,101.95,99.0,100.4,1639879.0
2019-09-26,101.6,101.6,96.55,98.7,1968144.0
2019-09-27,98.76,100.77,97.44,97.77,1521414.0
2019-09-30,98.27,99.0699,97.51,97.94,1425051.0
2019-10-01,98.58,98.99,96.41,97.79,1854847.0
2019-10-02,97.26,98.52,95.02,97.48,1432702.0
2019-10-03,97.01,99.4,96.63,99.17,1547676.0
2019-10-04,99.26,99.85,96.68,98.03,1510400.0
2019-10-07,98.17,98.87,96.62,97.35,1274581.0
2019-10-08,97.16,97.18,95.5,95.8,1487281.0
2019-10-09,96.46,96.99,94.59,94.84,1741075.0
2019-10-10,95.3,98.46,94.66,98.35,1373724.0
2019-10-11,99.13,101.1608,98.92,99.25,1181591.0
2019-10-14,99.5,103.14,98.73,101.34,2041666.0
2019-10-15,101.6,105.13,101.5,104.81,1767409.0
2019-10-16,102.8,104.9,99.41,99.51,2699812.0
2019-10-17,101.2,101.79,99.4652,99.99,1439535.0
2019-10-18,100.29,100.45,97.585,98.41,1598694.0
2019-10-21,100.0,101.36,98.53,100.73,1770533.0
2019-10-22,101.99,103.73,98.74,99.28,2461060.0
2019-10-23,101.0,107.04,100.95,106.63,4396521.0
2019-10-24,107.86,108.0,104.31,106.08,1930850.0
2019-10-25,105.09,105.6839,103.32,105.18,1547768.0
2019-10-28,105.0,106.86,104.2,106.56,1466361.0
2019-10-29,106.57,108.06,106.57,107.49,1534056.0
2019-10-30,107.49,107.73,104.96,106.25,1053209.0
2019-10-31,106.23,106.42,104.45,105.4,1277365.0
2019-11-01,106.26,109.68,105.62,109.38,1889115.0
2019-11-04,110.26,111.0,108.37,108.53,1309884.0
2019-11-05,108.69,109.375,107.1,107.23,1560674.0
2019-11-06,107.42,109.25,106.39,106.63,1512336.0
2019-11-07,106.91,108.64,106.77,108.05,1421122.0
2019-11-08,107.28,111.04,107.0,110.79,1255688.0
2019-11-11,110.67,110.79,108.345,109.01,1328102.0
2019-11-12,109.38,110.1595,108.44,109.44,1329175.0
2019-11-13,109.02,109.02,106.7299,107.13,1422869.0
2019-11-14,107.37,107.78,104.52,105.89,1603682.0
2019-11-15,106.84,108.59,106.02,108.37,1751415.0
2019-11-18,108.54,109.0,106.78,107.97,1429634.0
2019-11-19,109.0,112.04,108.0,110.65,1819931.0
2019-11-20,110.55,111.64,107.59,108.53,2519799.0
2019-11-21,108.47,110.07,108.0,109.53,1650460.0
2019-11-22,109.8,111.43,108.67,111.03,1195127.0
2019-11-25,110.75,114.36,110.01,114.3,1781108.0
2019-11-26,113.95,113.95,112.22,113.56,1373392.0
2019-11-27,114.19,114.98,113.245,114.65,1049365.0
2019-11-29,114.13,115.0,113.38,113.94,609578.0
2019-12-02,113.2,114.96,112.0054,112.91,1560474.0
2019-12-03,112.0,114.13,111.29,114.05,1915461.0
2019-12-04,114.61,116.59,114.27,115.45,1662879.0
2019-12-05,115.59,116.0,106.13,107.42,3552634.0
2019-12-06,113.8,114.79,109.59,113.89,4297383.0
2019-12-09,114.08,116.2,111.4,112.48,2077744.0
2019-12-10,113.03,113.54,110.59,111.2,1657504.0
2019-12-11,111.51,112.87,108.911,109.5,1595780.0
2019-12-12,109.6,112.84,109.15,112.47,1818087.0
2019-12-13,112.82,113.7895,109.72,110.42,1566461.0
2019-12-16,111.22,111.8,110.25,111.37,1773859.0
2019-12-17,109.51,110.12,106.76,109.82,1868226.0
2019-12-18,109.43,109.74,107.32,109.2,1841805.0
2019-12-19,110.05,112.36,109.315,111.24,2365695.0
2019-12-20,111.59,111.94,107.73,109.75,4479926.0
2019-12-23,110.68,110.98,109.42,110.46,1503971.0
2019-12-24,111.1,111.23,109.8238,110.28,403899.0
2019-12-26,110.12,110.95,108.52,108.93,911006.0
2019-12-27,108.85,109.3,107.81,108.55,1167779.0
2019-12-30,108.95,108.95,107.1,107.34,1036803.0
2019-12-31,106.8,108.4,106.7,108.15,1162742.0
2020-01-02,109.36,109.8,107.16,107.84,1402303.0
2020-01-03,106.36,107.38,105.18,106.41,1316179.0
2020-01-06,105.65,107.77,104.56,106.58,1661283.0
2020-01-07,104.95,108.59,104.58,106.85,2992200.0
2020-01-08,106.94,109.19,105.73,108.58,1737034.0
2020-01-09,109.21,111.2,108.83,110.74,1788238.0
2020-01-10,111.22,111.22,108.77,109.48,1080957.0
2020-01-13,109.71,114.14,107.62,113.92,2379256.0
2020-01-14,113.5,113.5,110.6,112.79,2290298.0
2020-01-15,112.52,114.36,112.2,112.53,2015863.0
2020-01-16,113.51,113.81,111.38,112.51,1375539.0
2020-01-17,113.15,114.35,112.47,113.27,1938423.0
2020-01-21,113.86,114.5,112.675,113.01,1331410.0
2020-01-22,113.27,113.54,110.12,111.4,1420735.0
2020-01-23,111.06,111.28,108.02,108.55,1760097.0
2020-01-24,109.05,109.15,104.635,105.27,2071611.0
2020-01-27,104.08,106.23,103.24,105.3,1594779.0
2020-01-28,106.92,107.15,105.77,106.97,1435302.0
2020-01-29,107.13,108.91,106.85,106.94,1795555.0
2020-01-30,106.0,106.94,99.98,100.3,3943568.0
2020-01-31,101.36,102.74,98.75,99.39,3648916.0
